model,stim,condition,fidelity,corrected,greedy_is_canonical,prompt_tokens
distilgpt2,pi,neutral,0.9999,0,0,34
distilgpt2,pi,exact,0.9999,0,0,55
distilgpt2,pi,fix,0.9999,0,0,50
distilgpt2,pi,clutter,0.9999,0,0,72
distilgpt2,pi,recite,0.9999,0,0,47
distilgpt2,e,neutral,0.802,0,0,32
distilgpt2,e,exact,0.663,0,0,53
distilgpt2,e,fix,0.7107,0,0,48
distilgpt2,e,clutter,0.671,0,0,70
distilgpt2,e,recite,0.7582,0,0,45
distilgpt2,fib,neutral,0.9999,0,0,52
distilgpt2,fib,exact,0.9996,0,0,73
distilgpt2,fib,fix,0.9996,0,0,68
distilgpt2,fib,clutter,0.9999,0,0,90
distilgpt2,fib,recite,0.9997,0,0,65
distilgpt2,sonnet18,neutral,0.9872,0,0,32
distilgpt2,sonnet18,exact,0.9362,0,0,53
distilgpt2,sonnet18,fix,0.9542,0,0,48
distilgpt2,sonnet18,clutter,0.9926,0,0,70
distilgpt2,sonnet18,recite,0.9432,0,0,45
distilgpt2,sonnet18b,neutral,1.0,0,0,41
distilgpt2,sonnet18b,exact,1.0,0,0,62
distilgpt2,sonnet18b,fix,1.0,0,0,57
distilgpt2,sonnet18b,clutter,1.0,0,0,79
distilgpt2,sonnet18b,recite,1.0,0,0,54
distilgpt2,hamlet,neutral,0.9997,0,0,30
distilgpt2,hamlet,exact,0.9997,0,0,51
distilgpt2,hamlet,fix,0.9995,0,0,46
distilgpt2,hamlet,clutter,0.9998,0,0,68
distilgpt2,hamlet,recite,0.9992,0,0,43
distilgpt2,genesis,neutral,0.9945,0,0,23
distilgpt2,genesis,exact,0.9896,0,0,44
distilgpt2,genesis,fix,0.9902,0,0,39
distilgpt2,genesis,clutter,0.9964,0,0,61
distilgpt2,genesis,recite,0.9911,0,0,36
distilgpt2,twinkle,neutral,0.9998,0,0,29
distilgpt2,twinkle,exact,0.9994,0,0,50
distilgpt2,twinkle,fix,0.9994,0,0,45
distilgpt2,twinkle,clutter,0.9996,0,0,67
distilgpt2,twinkle,recite,0.9992,0,0,42
distilgpt2,lords,neutral,0.9999,0,0,30
distilgpt2,lords,exact,0.9969,0,0,51
distilgpt2,lords,fix,0.9975,0,0,46
distilgpt2,lords,clutter,0.9998,0,0,68
distilgpt2,lords,recite,0.9988,0,0,43
distilgpt2,alphabet,neutral,0.9999,0,0,39
distilgpt2,alphabet,exact,0.9997,0,0,60
distilgpt2,alphabet,fix,0.9999,0,0,55
distilgpt2,alphabet,clutter,0.9997,0,0,77
distilgpt2,alphabet,recite,0.9999,0,0,52
distilgpt2,gettysburg,neutral,0.9817,0,0,26
distilgpt2,gettysburg,exact,0.9597,0,0,47
