model,depth_digits,error_token_pos,prompt_tokens,fidelity,corrected
gpt2,6,5,57,0.8996,0
gpt2,12,8,60,0.9993,0
gpt2,20,9,61,0.9929,0
gpt2,30,15,67,0.9999,0
gpt2,45,20,72,0.9883,0
gpt2,60,26,78,0.9997,0
gpt2,80,37,89,0.9998,0
gpt2,100,45,97,0.9996,0
gpt2-medium,6,5,57,0.9621,0
gpt2-medium,12,8,60,0.9995,0
gpt2-medium,20,9,61,0.999,0
gpt2-medium,30,15,67,1.0,0
gpt2-medium,45,20,72,1.0,0
gpt2-medium,60,26,78,0.9999,0
gpt2-medium,80,37,89,0.9999,0
gpt2-medium,100,45,97,0.9999,0
gpt2-large,6,5,57,0.3871,1
gpt2-large,12,8,60,0.927,0
gpt2-large,20,9,61,0.9644,0
gpt2-large,30,15,67,1.0,0
gpt2-large,45,20,72,0.9994,0
gpt2-large,60,26,78,0.999,0
gpt2-large,80,37,89,1.0,0
gpt2-large,100,45,97,0.9999,0
