task,condition,seed,acc,f1,val_acc,layer,pooling
sst2,C0,0,0.775,0.7749979749817748,0.792,4,mean
sst2,C0,1,0.775,0.7749979749817748,0.792,4,mean
sst2,C0,2,0.775,0.7749979749817748,0.792,4,mean
sst2,C0,3,0.778,0.777999111996448,0.794,4,mean
sst2,C0,4,0.775,0.7749979749817748,0.792,4,mean
sst2,C1,0,0.808,0.807999231996928,0.822,4,mean
sst2,C1,1,0.81,0.8099969599513592,0.822,4,mean
sst2,C1,2,0.809,0.8089982809845289,0.822,4,mean
sst2,C1,3,0.808,0.807999231996928,0.822,4,mean
sst2,C1,4,0.807,0.806999806999807,0.822,4,mean
sst2,C2,0,0.812,0.8119932317563432,0.806,4,mean
sst2,C2,1,0.81,0.8099878392217101,0.808,4,mean
sst2,C2,2,0.811,0.8109907385461887,0.806,4,mean
sst2,C2,3,0.811,0.8109907385461887,0.806,4,mean
sst2,C2,4,0.811,0.8109907385461887,0.808,4,mean
sst2,C3,0,0.776,0.775999103996416,0.806,8,mean
sst2,C3,1,0.776,0.775999103996416,0.806,8,mean
sst2,C3,2,0.776,0.775999103996416,0.806,8,mean
sst2,C3,3,0.776,0.775999103996416,0.806,8,mean
sst2,C3,4,0.776,0.775999103996416,0.806,8,mean
agnews,C0,0,0.845,0.8449036275685262,0.84,4,mean
agnews,C0,1,0.846,0.8457812980404704,0.84,4,mean
agnews,C0,2,0.846,0.8459067077481086,0.84,4,mean
agnews,C0,3,0.841,0.8410044817665231,0.844,4,mean
agnews,C0,4,0.846,0.8458663433383689,0.842,4,mean
agnews,C1,0,0.846,0.8461286692783558,0.848,4,mean
agnews,C1,1,0.847,0.8472486393526186,0.846,4,mean
agnews,C1,2,0.846,0.8461798508653573,0.846,4,mean
agnews,C1,3,0.846,0.8461884378313081,0.848,4,mean
agnews,C1,4,0.846,0.8462107366495516,0.844,4,mean
agnews,C2,0,0.812,0.8126241719503987,0.82,12,mean
agnews,C2,1,0.81,0.8105169422811156,0.83,12,mean
agnews,C2,2,0.81,0.8104146844689625,0.822,12,mean
agnews,C2,3,0.813,0.8133126186597135,0.826,12,mean
agnews,C2,4,0.812,0.8125346125293872,0.824,12,mean
agnews,C3,0,0.846,0.8464180697184976,0.86,4,mean
agnews,C3,1,0.846,0.8464406777215383,0.858,4,mean
agnews,C3,2,0.844,0.8444351724525815,0.856,4,mean
agnews,C3,3,0.849,0.8494011196429334,0.86,4,mean
agnews,C3,4,0.845,0.8456121729114373,0.862,4,mean
