task,variant,seed,acc,f1
sst2,teacher_with_prefix,0,0.808,0.807999231996928
sst2,distilled_standalone,0,0.789,0.7889744659103752
sst2,hard_standalone,0,0.777,0.7769730137346619
sst2,teacher_with_prefix,1,0.81,0.8099969599513592
sst2,distilled_standalone,1,0.807,0.806999806999807
sst2,hard_standalone,1,0.78,0.7799920797148697
sst2,teacher_with_prefix,2,0.809,0.8089982809845289
sst2,distilled_standalone,2,0.817,0.8169983529851769
sst2,hard_standalone,2,0.777,0.7769730137346619
sst2,teacher_with_prefix,3,0.808,0.807999231996928
sst2,distilled_standalone,3,0.818,0.817999271997088
sst2,hard_standalone,3,0.781,0.780999780999781
sst2,teacher_with_prefix,4,0.807,0.806999806999807
sst2,distilled_standalone,4,0.816,0.815999263997056
sst2,hard_standalone,4,0.777,0.7769979929819368
agnews,teacher_with_prefix,0,0.846,0.8461286692783558
agnews,distilled_standalone,0,0.844,0.8439515739073213
agnews,hard_standalone,0,0.843,0.8430169585395273
agnews,teacher_with_prefix,1,0.847,0.8472486393526186
agnews,distilled_standalone,1,0.846,0.8457897704154668
agnews,hard_standalone,1,0.841,0.840517368170977
agnews,teacher_with_prefix,2,0.846,0.8461798508653573
agnews,distilled_standalone,2,0.846,0.8459044570756924
agnews,hard_standalone,2,0.847,0.8467451946065361
agnews,teacher_with_prefix,3,0.846,0.8461884378313081
agnews,distilled_standalone,3,0.843,0.842948178403798
agnews,hard_standalone,3,0.839,0.8386706866693703
agnews,teacher_with_prefix,4,0.846,0.8462107366495516
agnews,distilled_standalone,4,0.846,0.8457831191897132
agnews,hard_standalone,4,0.845,0.844805123596613
