task,condition,layer,pooling,val_acc
sst2,C0,4,last,0.702
sst2,C0,4,mean,0.792
sst2,C0,8,last,0.706
sst2,C0,8,mean,0.766
sst2,C0,12,last,0.668
sst2,C0,12,mean,0.702
sst2,C1,4,last,0.72
sst2,C1,4,mean,0.822
sst2,C1,8,last,0.748
sst2,C1,8,mean,0.814
sst2,C1,12,last,0.746
sst2,C1,12,mean,0.784
sst2,C2,4,last,0.714
sst2,C2,4,mean,0.806
sst2,C2,8,last,0.738
sst2,C2,8,mean,0.794
sst2,C2,12,last,0.736
sst2,C2,12,mean,0.782
sst2,C3,4,last,0.71
sst2,C3,4,mean,0.802
sst2,C3,8,last,0.748
sst2,C3,8,mean,0.806
sst2,C3,12,last,0.74
sst2,C3,12,mean,0.776
agnews,C0,4,last,0.778
agnews,C0,4,mean,0.84
agnews,C0,8,last,0.75
agnews,C0,8,mean,0.798
agnews,C0,12,last,0.774
agnews,C0,12,mean,0.802
agnews,C1,4,last,0.766
agnews,C1,4,mean,0.848
agnews,C1,8,last,0.742
agnews,C1,8,mean,0.836
agnews,C1,12,last,0.788
agnews,C1,12,mean,0.812
agnews,C2,4,last,0.682
agnews,C2,4,mean,0.81
agnews,C2,8,last,0.69
agnews,C2,8,mean,0.808
agnews,C2,12,last,0.7
agnews,C2,12,mean,0.82
agnews,C3,4,last,0.792
agnews,C3,4,mean,0.86
agnews,C3,8,last,0.724
agnews,C3,8,mean,0.818
agnews,C3,12,last,0.772
agnews,C3,12,mean,0.838
