task,condition,train_size,seed,acc
sst2,C0,250,0,0.716
sst2,C0,250,1,0.699
sst2,C0,250,2,0.684
sst2,C0,250,3,0.708
sst2,C0,250,4,0.723
sst2,C1,250,0,0.716
sst2,C1,250,1,0.716
sst2,C1,250,2,0.716
sst2,C1,250,3,0.738
sst2,C1,250,4,0.718
sst2,C2,250,0,0.723
sst2,C2,250,1,0.726
sst2,C2,250,2,0.712
sst2,C2,250,3,0.742
sst2,C2,250,4,0.745
sst2,C0,500,0,0.706
sst2,C0,500,1,0.758
sst2,C0,500,2,0.731
sst2,C0,500,3,0.738
sst2,C0,500,4,0.712
sst2,C1,500,0,0.755
sst2,C1,500,1,0.762
sst2,C1,500,2,0.773
sst2,C1,500,3,0.752
sst2,C1,500,4,0.748
sst2,C2,500,0,0.759
sst2,C2,500,1,0.747
sst2,C2,500,2,0.763
sst2,C2,500,3,0.742
sst2,C2,500,4,0.757
sst2,C0,1000,0,0.742
sst2,C0,1000,1,0.733
sst2,C0,1000,2,0.723
sst2,C0,1000,3,0.719
sst2,C0,1000,4,0.724
sst2,C1,1000,0,0.75
sst2,C1,1000,1,0.756
sst2,C1,1000,2,0.78
sst2,C1,1000,3,0.755
sst2,C1,1000,4,0.76
sst2,C2,1000,0,0.758
sst2,C2,1000,1,0.765
sst2,C2,1000,2,0.765
sst2,C2,1000,3,0.761
sst2,C2,1000,4,0.771
sst2,C0,2000,0,0.721
sst2,C0,2000,1,0.744
sst2,C0,2000,2,0.706
sst2,C0,2000,3,0.76
sst2,C0,2000,4,0.744
sst2,C1,2000,0,0.778
sst2,C1,2000,1,0.743
sst2,C1,2000,2,0.765
sst2,C1,2000,3,0.756
sst2,C1,2000,4,0.738
sst2,C2,2000,0,0.798
sst2,C2,2000,1,0.768
sst2,C2,2000,2,0.77
sst2,C2,2000,3,0.77
sst2,C2,2000,4,0.767
sst2,C0,4000,0,0.775
sst2,C0,4000,1,0.775
sst2,C0,4000,2,0.775
sst2,C0,4000,3,0.778
sst2,C0,4000,4,0.775
sst2,C1,4000,0,0.808
sst2,C1,4000,1,0.81
sst2,C1,4000,2,0.809
sst2,C1,4000,3,0.808
sst2,C1,4000,4,0.807
sst2,C2,4000,0,0.812
sst2,C2,4000,1,0.81
sst2,C2,4000,2,0.811
sst2,C2,4000,3,0.811
sst2,C2,4000,4,0.811
agnews,C0,250,0,0.813
agnews,C0,250,1,0.827
agnews,C0,250,2,0.815
agnews,C0,250,3,0.818
agnews,C0,250,4,0.812
agnews,C1,250,0,0.823
agnews,C1,250,1,0.839
agnews,C1,250,2,0.822
agnews,C1,250,3,0.844
agnews,C1,250,4,0.831
agnews,C2,250,0,0.79
agnews,C2,250,1,0.827
agnews,C2,250,2,0.814
agnews,C2,250,3,0.819
agnews,C2,250,4,0.798
agnews,C0,500,0,0.835
agnews,C0,500,1,0.831
agnews,C0,500,2,0.837
agnews,C0,500,3,0.84
agnews,C0,500,4,0.819
agnews,C1,500,0,0.841
agnews,C1,500,1,0.851
agnews,C1,500,2,0.838
agnews,C1,500,3,0.838
agnews,C1,500,4,0.831
agnews,C2,500,0,0.823
agnews,C2,500,1,0.806
agnews,C2,500,2,0.821
agnews,C2,500,3,0.819
agnews,C2,500,4,0.792
agnews,C0,1000,0,0.842
agnews,C0,1000,1,0.829
agnews,C0,1000,2,0.824
agnews,C0,1000,3,0.842
agnews,C0,1000,4,0.836
agnews,C1,1000,0,0.849
agnews,C1,1000,1,0.844
agnews,C1,1000,2,0.848
agnews,C1,1000,3,0.856
agnews,C1,1000,4,0.853
agnews,C2,1000,0,0.819
agnews,C2,1000,1,0.813
agnews,C2,1000,2,0.83
agnews,C2,1000,3,0.842
agnews,C2,1000,4,0.81
agnews,C0,2000,0,0.851
agnews,C0,2000,1,0.838
agnews,C0,2000,2,0.847
agnews,C0,2000,3,0.844
agnews,C0,2000,4,0.833
agnews,C1,2000,0,0.867
agnews,C1,2000,1,0.833
agnews,C1,2000,2,0.86
agnews,C1,2000,3,0.869
agnews,C1,2000,4,0.836
agnews,C2,2000,0,0.814
agnews,C2,2000,1,0.828
agnews,C2,2000,2,0.817
agnews,C2,2000,3,0.82
agnews,C2,2000,4,0.817
agnews,C0,4000,0,0.845
agnews,C0,4000,1,0.846
agnews,C0,4000,2,0.846
agnews,C0,4000,3,0.841
agnews,C0,4000,4,0.846
agnews,C1,4000,0,0.846
agnews,C1,4000,1,0.847
agnews,C1,4000,2,0.846
agnews,C1,4000,3,0.846
agnews,C1,4000,4,0.846
agnews,C2,4000,0,0.812
agnews,C2,4000,1,0.81
agnews,C2,4000,2,0.81
agnews,C2,4000,3,0.813
agnews,C2,4000,4,0.812
